STATION_NAME,DATE,PRCP
ALEXANDRIA 1.8 S VA US,20090412,84
ALEXANDRIA 1.8 S VA US,20090414,119
ALEXANDRIA 1.8 S VA US,20090415,20
ALEXANDRIA 1.8 S VA US,20090416,107
ALEXANDRIA 1.8 S VA US,20090420,81
ALEXANDRIA 1.8 S VA US,20090421,287
ALEXANDRIA 1.8 S VA US,20090422,30
ALEXANDRIA 1.8 S VA US,20090423,18
ALEXANDRIA 1.8 S VA US,20090424,0
ALEXANDRIA 1.8 S VA US,20090425,0
ALEXANDRIA 1.8 S VA US,20090426,15
ALEXANDRIA 1.8 S VA US,20090427,0
ALEXANDRIA 1.8 S VA US,20090428,0
ALEXANDRIA 1.8 S VA US,20090430,41
ALEXANDRIA 1.8 S VA US,20090501,0
ALEXANDRIA 1.8 S VA US,20090502,5
ALEXANDRIA 1.8 S VA US,20090503,69
ALEXANDRIA 1.8 S VA US,20090504,310
ALEXANDRIA 1.8 S VA US,20090505,64
ALEXANDRIA 1.8 S VA US,20090506,74
ALEXANDRIA 1.8 S VA US,20090507,229
ALEXANDRIA 1.8 S VA US,20090508,112
ALEXANDRIA 1.8 S VA US,20090522,0
ALEXANDRIA 1.8 S VA US,20090523,0
ALEXANDRIA 1.8 S VA US,20090525,0
ALEXANDRIA 1.8 S VA US,20090526,505
ALEXANDRIA 1.8 S VA US,20090527,142
ALEXANDRIA 1.8 S VA US,20090528,0
ALEXANDRIA 1.8 S VA US,20090529,13
ALEXANDRIA 1.8 S VA US,20090530,94
ALEXANDRIA 1.8 S VA US,20090531,76
ALEXANDRIA 1.8 S VA US,20090601,0
ALEXANDRIA 1.8 S VA US,20090602,0
ALEXANDRIA 1.8 S VA US,20090603,28
ALEXANDRIA 1.8 S VA US,20090604,518
ALEXANDRIA 1.8 S VA US,20090605,183
ALEXANDRIA 1.8 S VA US,20090606,119
ALEXANDRIA 1.8 S VA US,20090607,0
ALEXANDRIA 1.8 S VA US,20090608,0
ALEXANDRIA 1.8 S VA US,20090609,38
ALEXANDRIA 1.8 S VA US,20090610,152
ALEXANDRIA 1.8 S VA US,20090611,267
ALEXANDRIA 1.8 S VA US,20090612,8
ALEXANDRIA 1.8 S VA US,20090613,0
ALEXANDRIA 1.8 S VA US,20090614,5
ALEXANDRIA 1.8 S VA US,20090615,0
ALEXANDRIA 1.8 S VA US,20090616,0
ALEXANDRIA 1.8 S VA US,20090617,0
ALEXANDRIA 1.8 S VA US,20090618,79
ALEXANDRIA 1.8 S VA US,20090623,0
ALEXANDRIA 1.8 S VA US,20090625,0
ALEXANDRIA 1.8 S VA US,20090626,0
ALEXANDRIA 1.8 S VA US,20090629,0
ALEXANDRIA 1.8 S VA US,20090630,0
ALEXANDRIA 1.8 S VA US,20090701,3
ALEXANDRIA 1.8 S VA US,20090702,25
ALEXANDRIA 1.8 S VA US,20090703,0
ALEXANDRIA 1.8 S VA US,20090704,3
ALEXANDRIA 1.8 S VA US,20090705,0
ALEXANDRIA 1.8 S VA US,20090706,5
ALEXANDRIA 1.8 S VA US,20090707,0
ALEXANDRIA 1.8 S VA US,20090708,0
ALEXANDRIA 1.8 S VA US,20090709,0
ALEXANDRIA 1.8 S VA US,20090710,0
ALEXANDRIA 1.8 S VA US,20090711,0
ALEXANDRIA 1.8 S VA US,20090712,3
ALEXANDRIA 1.8 S VA US,20090713,0
ALEXANDRIA 1.8 S VA US,20090714,0
ALEXANDRIA 1.8 S VA US,20090715,0
ALEXANDRIA 1.8 S VA US,20090716,0
ALEXANDRIA 1.8 S VA US,20090717,0
ALEXANDRIA 1.8 S VA US,20090718,13
ALEXANDRIA 1.8 S VA US,20090719,0
ALEXANDRIA 1.8 S VA US,20090720,0
ALEXANDRIA 1.8 S VA US,20090721,0
ALEXANDRIA 1.8 S VA US,20090722,0
ALEXANDRIA 1.8 S VA US,20090723,0
ALEXANDRIA 1.8 S VA US,20090724,368
ALEXANDRIA 1.8 S VA US,20090725,0
ALEXANDRIA 1.8 S VA US,20090726,46
ALEXANDRIA 1.8 S VA US,20090727,5
ALEXANDRIA 1.8 S VA US,20090729,0
ALEXANDRIA 1.8 S VA US,20090730,20
ALEXANDRIA 1.8 S VA US,20090801,30
ALEXANDRIA 1.8 S VA US,20090802,236
ALEXANDRIA 1.8 S VA US,20090803,91
ALEXANDRIA 1.8 S VA US,20090804,0
ALEXANDRIA 1.8 S VA US,20090805,0
ALEXANDRIA 1.8 S VA US,20090806,43
ALEXANDRIA 1.8 S VA US,20090807,0
ALEXANDRIA 1.8 S VA US,20090808,0
ALEXANDRIA 1.8 S VA US,20090815,0
ALEXANDRIA 1.8 S VA US,20090816,0
ALEXANDRIA 1.8 S VA US,20090817,0
ALEXANDRIA 1.8 S VA US,20090819,5
ALEXANDRIA 1.8 S VA US,20090820,107
ALEXANDRIA 1.8 S VA US,20090821,0
ALEXANDRIA 1.8 S VA US,20090822,130
ALEXANDRIA 1.8 S VA US,20090823,404
ALEXANDRIA 1.8 S VA US,20090824,0
ALEXANDRIA 1.8 S VA US,20090825,0
ALEXANDRIA 1.8 S VA US,20090826,0
ALEXANDRIA 1.8 S VA US,20090827,0
ALEXANDRIA 1.8 S VA US,20090828,0
ALEXANDRIA 1.8 S VA US,20090829,104
ALEXANDRIA 1.8 S VA US,20090830,28
ALEXANDRIA 1.8 S VA US,20090831,38
ALEXANDRIA 1.8 S VA US,20090901,0
ALEXANDRIA 1.8 S VA US,20090902,0
ALEXANDRIA 1.8 S VA US,20090903,0
ALEXANDRIA 1.8 S VA US,20090904,0
ALEXANDRIA 1.8 S VA US,20090909,20
ALEXANDRIA 1.8 S VA US,20090910,3
ALEXANDRIA 1.8 S VA US,20090911,74
ALEXANDRIA 1.8 S VA US,20090912,122
ALEXANDRIA 1.8 S VA US,20090913,0
ALEXANDRIA 1.8 S VA US,20090914,0
ALEXANDRIA 1.8 S VA US,20090915,0
ALEXANDRIA 1.8 S VA US,20090916,71
ALEXANDRIA 1.8 S VA US,20090917,15
ALEXANDRIA 1.8 S VA US,20090919,0
ALEXANDRIA 1.8 S VA US,20090920,0
ALEXANDRIA 1.8 S VA US,20090921,0
ALEXANDRIA 1.8 S VA US,20090922,0
ALEXANDRIA 1.8 S VA US,20090923,0
ALEXANDRIA 1.8 S VA US,20090924,20
ALEXANDRIA 1.8 S VA US,20090925,13
ALEXANDRIA 1.8 S VA US,20090929,0
ALEXANDRIA 1.8 S VA US,20090930,0
ALEXANDRIA 1.8 S VA US,20091001,3
ALEXANDRIA 1.8 S VA US,20091002,0
ALEXANDRIA 1.8 S VA US,20091003,5
ALEXANDRIA 1.8 S VA US,20091004,0
ALEXANDRIA 1.8 S VA US,20091005,0
ALEXANDRIA 1.8 S VA US,20091006,0
ALEXANDRIA 1.8 S VA US,20091007,5
ALEXANDRIA 1.8 S VA US,20091008,0
ALEXANDRIA 1.8 S VA US,20091009,0
ALEXANDRIA 1.8 S VA US,20091010,8
ALEXANDRIA 1.8 S VA US,20091011,3
ALEXANDRIA 1.8 S VA US,20091012,0
ALEXANDRIA 1.8 S VA US,20091013,0
ALEXANDRIA 1.8 S VA US,20091014,0
ALEXANDRIA 1.8 S VA US,20091015,25
ALEXANDRIA 1.8 S VA US,20091016,201
ALEXANDRIA 1.8 S VA US,20091017,300
ALEXANDRIA 1.8 S VA US,20091020,0
ALEXANDRIA 1.8 S VA US,20091021,0
ALEXANDRIA 1.8 S VA US,20091022,0
ALEXANDRIA 1.8 S VA US,20091023,0
ALEXANDRIA 1.8 S VA US,20091024,8
ALEXANDRIA 1.8 S VA US,20091025,246
ALEXANDRIA 1.8 S VA US,20091026,0
ALEXANDRIA 1.8 S VA US,20091027,157
ALEXANDRIA 1.8 S VA US,20091028,371
ALEXANDRIA 1.8 S VA US,20091029,3
ALEXANDRIA 1.8 S VA US,20091030,0
ALEXANDRIA 1.8 S VA US,20091031,8
ALEXANDRIA 1.8 S VA US,20091101,175
ALEXANDRIA 1.8 S VA US,20091102,30
ALEXANDRIA 1.8 S VA US,20091103,0
ALEXANDRIA 1.8 S VA US,20091104,0
ALEXANDRIA 1.8 S VA US,20091105,0
ALEXANDRIA 1.8 S VA US,20091106,0
ALEXANDRIA 1.8 S VA US,20091107,0
ALEXANDRIA 1.8 S VA US,20091108,0
ALEXANDRIA 1.8 S VA US,20091109,0
ALEXANDRIA 1.8 S VA US,20091110,0
ALEXANDRIA 1.8 S VA US,20091111,41
ALEXANDRIA 1.8 S VA US,20091112,307
ALEXANDRIA 1.8 S VA US,20091116,0
ALEXANDRIA 1.8 S VA US,20091117,0
ALEXANDRIA 1.8 S VA US,20091118,0
ALEXANDRIA 1.8 S VA US,20091119,3
ALEXANDRIA 1.8 S VA US,20091120,130
ALEXANDRIA 1.8 S VA US,20091121,0
ALEXANDRIA 1.8 S VA US,20091122,0
ALEXANDRIA 1.8 S VA US,20091123,3
ALEXANDRIA 1.8 S VA US,20091124,211
ALEXANDRIA 1.8 S VA US,20091125,46
ALEXANDRIA 1.8 S VA US,20091126,10
ALEXANDRIA 1.8 S VA US,20091127,13
ALEXANDRIA 1.8 S VA US,20091128,0
ALEXANDRIA 1.8 S VA US,20091129,0
ALEXANDRIA 1.8 S VA US,20091130,0
ALEXANDRIA 1.8 S VA US,20091201,61
ALEXANDRIA 1.8 S VA US,20091202,0
ALEXANDRIA 1.8 S VA US,20091203,211
ALEXANDRIA 1.8 S VA US,20091204,0
ALEXANDRIA 1.8 S VA US,20091205,13
ALEXANDRIA 1.8 S VA US,20091206,155
ALEXANDRIA 1.8 S VA US,20091207,0
ALEXANDRIA 1.8 S VA US,20091208,0
ALEXANDRIA 1.8 S VA US,20091209,429
ALEXANDRIA 1.8 S VA US,20091210,0
ALEXANDRIA 1.8 S VA US,20091211,0
ALEXANDRIA 1.8 S VA US,20091212,0
ALEXANDRIA 1.8 S VA US,20091213,15
ALEXANDRIA 1.8 S VA US,20091214,114
ALEXANDRIA 1.8 S VA US,20091215,0
ALEXANDRIA 1.8 S VA US,20091216,0
ALEXANDRIA 1.8 S VA US,20091217,0
ALEXANDRIA 1.8 S VA US,20091218,0
ALEXANDRIA 1.8 S VA US,20091219,119
ALEXANDRIA 1.8 S VA US,20091220,310
ALEXANDRIA 1.8 S VA US,20091222,0
ALEXANDRIA 1.8 S VA US,20091231,74
ALEXANDRIA 1.8 S VA US,20100101,33
ALEXANDRIA 1.8 S VA US,20100102,0
ALEXANDRIA 1.8 S VA US,20100103,0
ALEXANDRIA 1.8 S VA US,20100104,0
ALEXANDRIA 1.8 S VA US,20100105,0
ALEXANDRIA 1.8 S VA US,20100106,0
ALEXANDRIA 1.8 S VA US,20100107,0
ALEXANDRIA 1.8 S VA US,20100108,10
ALEXANDRIA 1.8 S VA US,20100109,0
ALEXANDRIA 1.8 S VA US,20100110,0
ALEXANDRIA 1.8 S VA US,20100111,0
ALEXANDRIA 1.8 S VA US,20100112,0
ALEXANDRIA 1.8 S VA US,20100113,0
ALEXANDRIA 1.8 S VA US,20100114,0
ALEXANDRIA 1.8 S VA US,20100117,10
ALEXANDRIA 1.8 S VA US,20100118,178
ALEXANDRIA 1.8 S VA US,20100125,99
ALEXANDRIA 1.8 S VA US,20100126,8
ALEXANDRIA 1.8 S VA US,20100127,0
ALEXANDRIA 1.8 S VA US,20100129,0
ALEXANDRIA 1.8 S VA US,20100130,0
ALEXANDRIA 1.8 S VA US,20100131,94
ALEXANDRIA 1.8 S VA US,20100201,0
ALEXANDRIA 1.8 S VA US,20100202,0
ALEXANDRIA 1.8 S VA US,20100203,76
ALEXANDRIA 1.8 S VA US,20100204,0
ALEXANDRIA 1.8 S VA US,20100205,0
ALEXANDRIA 1.8 S VA US,20100206,488
ALEXANDRIA 1.8 S VA US,20100207,157
ALEXANDRIA 1.8 S VA US,20100208,0
ALEXANDRIA 1.8 S VA US,20100209,0
ALEXANDRIA 1.8 S VA US,20100210,160
ALEXANDRIA 1.8 S VA US,20100211,61
ALEXANDRIA 1.8 S VA US,20100212,0
ALEXANDRIA 1.8 S VA US,20100213,0
ALEXANDRIA 1.8 S VA US,20100214,0
ALEXANDRIA 1.8 S VA US,20100215,0
ALEXANDRIA 1.8 S VA US,20100216,5
ALEXANDRIA 1.8 S VA US,20100217,0
ALEXANDRIA 1.8 S VA US,20100219,0
ALEXANDRIA 1.8 S VA US,20100220,0
ALEXANDRIA 1.8 S VA US,20100221,0
ALEXANDRIA 1.8 S VA US,20100222,0
ALEXANDRIA 1.8 S VA US,20100223,79
ALEXANDRIA 1.8 S VA US,20100224,0
ALEXANDRIA 1.8 S VA US,20100225,3
ALEXANDRIA 1.8 S VA US,20100226,0
ALEXANDRIA 1.8 S VA US,20100227,3
ALEXANDRIA 1.8 S VA US,20100228,0
ALEXANDRIA 1.8 S VA US,20100301,0
ALEXANDRIA 1.8 S VA US,20100302,0
ALEXANDRIA 1.8 S VA US,20100303,20
ALEXANDRIA 1.8 S VA US,20100304,0
ALEXANDRIA 1.8 S VA US,20100305,0
ALEXANDRIA 1.8 S VA US,20100307,0
ALEXANDRIA 1.8 S VA US,20100309,0
ALEXANDRIA 1.8 S VA US,20100310,0
ALEXANDRIA 1.8 S VA US,20100311,0
ALEXANDRIA 1.8 S VA US,20100312,142
ALEXANDRIA 1.8 S VA US,20100313,180
ALEXANDRIA 1.8 S VA US,20100314,142
ALEXANDRIA 1.8 S VA US,20100315,43
ALEXANDRIA 1.8 S VA US,20100316,15
ALEXANDRIA 1.8 S VA US,20100317,0
ALEXANDRIA 1.8 S VA US,20100318,0
ALEXANDRIA 1.8 S VA US,20100319,0
ALEXANDRIA 1.8 S VA US,20100322,3
ALEXANDRIA 1.8 S VA US,20100325,0
ALEXANDRIA 1.8 S VA US,20100326,81
ALEXANDRIA 1.8 S VA US,20100327,15
ALEXANDRIA 1.8 S VA US,20100328,0
ALEXANDRIA 1.8 S VA US,20100329,246
ALEXANDRIA 1.8 S VA US,20100330,38
ALEXANDRIA 1.8 S VA US,20100331,3
ALEXANDRIA 1.8 S VA US,20100401,0
ALEXANDRIA 1.8 S VA US,20100402,0
ALEXANDRIA 1.8 S VA US,20100403,0
ALEXANDRIA 1.8 S VA US,20100404,0
ALEXANDRIA 1.8 S VA US,20100405,0
ALEXANDRIA 1.8 S VA US,20100409,206
ALEXANDRIA 1.8 S VA US,20100410,0
ALEXANDRIA 1.8 S VA US,20100412,0
ALEXANDRIA 1.8 S VA US,20100413,0
ALEXANDRIA 1.8 S VA US,20100414,38
ALEXANDRIA 1.8 S VA US,20100416,0
ALEXANDRIA 1.8 S VA US,20100417,3
ALEXANDRIA 1.8 S VA US,20100418,0
ALEXANDRIA 1.8 S VA US,20100419,0
ALEXANDRIA 1.8 S VA US,20100420,0
ALEXANDRIA 1.8 S VA US,20100421,0
ALEXANDRIA 1.8 S VA US,20100422,74
ALEXANDRIA 1.8 S VA US,20100423,0
ALEXANDRIA 1.8 S VA US,20100424,0
ALEXANDRIA 1.8 S VA US,20100425,38
ALEXANDRIA 1.8 S VA US,20100426,23
ALEXANDRIA 1.8 S VA US,20100427,97
ALEXANDRIA 1.8 S VA US,20100428,0
ALEXANDRIA 1.8 S VA US,20100501,0
ALEXANDRIA 1.8 S VA US,20100502,0
ALEXANDRIA 1.8 S VA US,20100503,56
ALEXANDRIA 1.8 S VA US,20100505,0
ALEXANDRIA 1.8 S VA US,20100507,0
ALEXANDRIA 1.8 S VA US,20100601,0
ALEXANDRIA 1.8 S VA US,20100602,25
ALEXANDRIA 1.8 S VA US,20100603,0
ALEXANDRIA 1.8 S VA US,20100604,241
ALEXANDRIA 1.8 S VA US,20100605,0
ALEXANDRIA 1.8 S VA US,20100607,36
ALEXANDRIA 1.8 S VA US,20100608,0
ALEXANDRIA 1.8 S VA US,20100609,0
ALEXANDRIA 1.8 S VA US,20100610,28
ALEXANDRIA 1.8 S VA US,20100611,0
ALEXANDRIA 1.8 S VA US,20100612,0
ALEXANDRIA 1.8 S VA US,20100613,5
ALEXANDRIA 1.8 S VA US,20100614,0
ALEXANDRIA 1.8 S VA US,20100615,137
ALEXANDRIA 1.8 S VA US,20100616,3
ALEXANDRIA 1.8 S VA US,20100617,0
ALEXANDRIA 1.8 S VA US,20100618,0
ALEXANDRIA 1.8 S VA US,20100619,0
ALEXANDRIA 1.8 S VA US,20100621,0
ALEXANDRIA 1.8 S VA US,20100623,0
ALEXANDRIA 1.8 S VA US,20100624,0
ALEXANDRIA 1.8 S VA US,20100625,0
ALEXANDRIA 1.8 S VA US,20100626,0
ALEXANDRIA 1.8 S VA US,20100627,0
ALEXANDRIA 1.8 S VA US,20100628,0
ALEXANDRIA 1.8 S VA US,20100629,274
ALEXANDRIA 1.8 S VA US,20100630,0
ALEXANDRIA 1.8 S VA US,20100701,0
ALEXANDRIA 1.8 S VA US,20100702,0
ALEXANDRIA 1.8 S VA US,20100704,0
ALEXANDRIA 1.8 S VA US,20100706,0
ALEXANDRIA 1.8 S VA US,20100707,0
ALEXANDRIA 1.8 S VA US,20100708,0
ALEXANDRIA 1.8 S VA US,20100709,0
ALEXANDRIA 1.8 S VA US,20100712,0
ALEXANDRIA 1.8 S VA US,20100713,99
ALEXANDRIA 1.8 S VA US,20100714,574
ALEXANDRIA 1.8 S VA US,20100715,3
ALEXANDRIA 1.8 S VA US,20100716,0
ALEXANDRIA 1.8 S VA US,20100717,0
ALEXANDRIA 1.8 S VA US,20100718,0
ALEXANDRIA 1.8 S VA US,20100720,30
ALEXANDRIA 1.8 S VA US,20100721,8
ALEXANDRIA 1.8 S VA US,20100722,0
ALEXANDRIA 1.8 S VA US,20100723,0
ALEXANDRIA 1.8 S VA US,20100724,0
ALEXANDRIA 1.8 S VA US,20100725,0
ALEXANDRIA 1.8 S VA US,20100726,135
ALEXANDRIA 1.8 S VA US,20100727,0
ALEXANDRIA 1.8 S VA US,20100728,0
ALEXANDRIA 1.8 S VA US,20100729,0
ALEXANDRIA 1.8 S VA US,20100730,117
ALEXANDRIA 1.8 S VA US,20100803,0
ALEXANDRIA 1.8 S VA US,20100804,3
ALEXANDRIA 1.8 S VA US,20100805,0
ALEXANDRIA 1.8 S VA US,20100806,183
ALEXANDRIA 1.8 S VA US,20100807,0
ALEXANDRIA 1.8 S VA US,20100808,0
ALEXANDRIA 1.8 S VA US,20100809,0
ALEXANDRIA 1.8 S VA US,20100810,0
ALEXANDRIA 1.8 S VA US,20100811,0
ALEXANDRIA 1.8 S VA US,20100812,0
ALEXANDRIA 1.8 S VA US,20100813,244
ALEXANDRIA 1.8 S VA US,20100814,3
ALEXANDRIA 1.8 S VA US,20100815,0
ALEXANDRIA 1.8 S VA US,20100816,53
ALEXANDRIA 1.8 S VA US,20100817,0
ALEXANDRIA 1.8 S VA US,20100818,79
ALEXANDRIA 1.8 S VA US,20100819,89
ALEXANDRIA 1.8 S VA US,20100824,0
ALEXANDRIA 1.8 S VA US,20100826,0
ALEXANDRIA 1.8 S VA US,20100827,0
ALEXANDRIA 1.8 S VA US,20100828,0
ALEXANDRIA 1.8 S VA US,20100829,0
ALEXANDRIA 1.8 S VA US,20100830,0
ALEXANDRIA 1.8 S VA US,20100831,0
ALEXANDRIA 1.8 S VA US,20100901,0
ALEXANDRIA 1.8 S VA US,20100903,0
ALEXANDRIA 1.8 S VA US,20100904,0
ALEXANDRIA 1.8 S VA US,20100905,0
ALEXANDRIA 1.8 S VA US,20100906,0
ALEXANDRIA 1.8 S VA US,20100907,0
ALEXANDRIA 1.8 S VA US,20100908,0
ALEXANDRIA 1.8 S VA US,20100909,0
ALEXANDRIA 1.8 S VA US,20100910,0
ALEXANDRIA 1.8 S VA US,20100912,183
ALEXANDRIA 1.8 S VA US,20100913,10
ALEXANDRIA 1.8 S VA US,20100914,0
ALEXANDRIA 1.8 S VA US,20100916,0
ALEXANDRIA 1.8 S VA US,20100917,15
ALEXANDRIA 1.8 S VA US,20100918,0
ALEXANDRIA 1.8 S VA US,20100920,0
ALEXANDRIA 1.8 S VA US,20100923,0
ALEXANDRIA 1.8 S VA US,20100924,0
ALEXANDRIA 1.8 S VA US,20100929,0
ALEXANDRIA 1.8 S VA US,20100930,536
ALEXANDRIA 1.8 S VA US,20101001,648
ALEXANDRIA 1.8 S VA US,20101002,0
ALEXANDRIA 1.8 S VA US,20101004,221
ALEXANDRIA 1.8 S VA US,20101005,13
ALEXANDRIA 1.8 S VA US,20101007,13
ALEXANDRIA 1.8 S VA US,20101018,0
ALEXANDRIA 1.8 S VA US,20101019,5
ALEXANDRIA 1.8 S VA US,20101020,0
ALEXANDRIA 1.8 S VA US,20101021,10
ALEXANDRIA 1.8 S VA US,20101022,0
ALEXANDRIA 1.8 S VA US,20101024,0
ALEXANDRIA 1.8 S VA US,20101025,0
ALEXANDRIA 1.8 S VA US,20101026,0
ALEXANDRIA 1.8 S VA US,20101027,137
ALEXANDRIA 1.8 S VA US,20101028,196
ALEXANDRIA 1.8 S VA US,20101029,0
ALEXANDRIA 1.8 S VA US,20101030,0
ALEXANDRIA 1.8 S VA US,20101031,0
ALEXANDRIA 1.8 S VA US,20101101,0
ALEXANDRIA 1.8 S VA US,20101102,0
ALEXANDRIA 1.8 S VA US,20101103,0
ALEXANDRIA 1.8 S VA US,20101104,208
ALEXANDRIA 1.8 S VA US,20101105,170
ALEXANDRIA 1.8 S VA US,20101106,0
ALEXANDRIA 1.8 S VA US,20101107,0
ALEXANDRIA 1.8 S VA US,20101108,0
ALEXANDRIA 1.8 S VA US,20101109,0
ALEXANDRIA 1.8 S VA US,20101110,0
ALEXANDRIA 1.8 S VA US,20101111,0
ALEXANDRIA 1.8 S VA US,20101112,0
ALEXANDRIA 1.8 S VA US,20101113,0
ALEXANDRIA 1.8 S VA US,20101114,0
ALEXANDRIA 1.8 S VA US,20101115,0
ALEXANDRIA 1.8 S VA US,20101116,64
ALEXANDRIA 1.8 S VA US,20101117,112
ALEXANDRIA 1.8 S VA US,20101118,0
ALEXANDRIA 1.8 S VA US,20101119,0
ALEXANDRIA 1.8 S VA US,20101120,0
ALEXANDRIA 1.8 S VA US,20101121,0
ARLINGTON 0.3 E VA US,20140106,91
ARLINGTON 0.3 E VA US,20140107,5
ARLINGTON 0.3 E VA US,20140108,0
ARLINGTON 0.3 E VA US,20140109,0
ARLINGTON 0.3 E VA US,20140110,23
ARLINGTON 0.3 E VA US,20140111,152
ARLINGTON 0.3 E VA US,20140112,173
ARLINGTON 0.3 E VA US,20140113,0
ARLINGTON 0.3 E VA US,20140114,20
ARLINGTON 0.3 E VA US,20140115,58
ARLINGTON 0.3 E VA US,20140116,0
ARLINGTON 0.3 E VA US,20140117,0
ARLINGTON 0.3 E VA US,20140118,0
ARLINGTON 0.3 E VA US,20140119,0
ARLINGTON 0.3 E VA US,20140120,0
ARLINGTON 0.3 E VA US,20140121,0
ARLINGTON 0.3 E VA US,20140122,74
ARLINGTON 0.3 E VA US,20140123,0
ARLINGTON 0.3 E VA US,20140124,0
ARLINGTON 0.3 E VA US,20140125,0
ARLINGTON 0.3 E VA US,20140126,0
ARLINGTON 0.3 E VA US,20140127,0
ARLINGTON 0.3 E VA US,20140128,0
ARLINGTON 0.3 E VA US,20140129,5
ARLINGTON 0.3 E VA US,20140130,0
ARLINGTON 0.3 E VA US,20140131,0
ARLINGTON 0.3 E VA US,20140201,0
ARLINGTON 0.3 E VA US,20140203,188
ARLINGTON 0.3 E VA US,20140204,170
ARLINGTON 0.3 E VA US,20140205,69
ARLINGTON 0.3 E VA US,20140206,23
ARLINGTON 0.3 E VA US,20140207,0
ARLINGTON 0.3 E VA US,20140208,0
ARLINGTON 0.3 E VA US,20140209,0
ARLINGTON 0.3 E VA US,20140210,3
ARLINGTON 0.3 E VA US,20140211,0
ARLINGTON 0.3 E VA US,20140212,0
ARLINGTON 0.3 E VA US,20140214,97
ARLINGTON 0.3 E VA US,20140215,0
ARLINGTON 0.3 E VA US,20140216,20
ARLINGTON 0.3 E VA US,20140218,13
ARLINGTON 0.3 E VA US,20140219,0
ARLINGTON 0.3 E VA US,20140220,28
ARLINGTON 0.3 E VA US,20140221,0
ARLINGTON 0.3 E VA US,20140222,20
ARLINGTON 0.3 E VA US,20140223,0
ARLINGTON 0.3 E VA US,20140224,0
